City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
126,Broken Hill,-31.95,141.43,55.4,47,90,8.05,AU,overcast clouds,2020-08-24 06:16:48
127,Sorland,67.67,12.69,50.0,81,75,11.41,NO,shower rain,2020-08-24 06:18:23
128,Port Elizabeth,-33.92,25.57,59.0,93,75,9.17,ZA,light intensity drizzle,2020-08-24 06:19:59
129,Flin Flon,54.77,-101.86,50.99,86,72,9.89,CA,broken clouds,2020-08-24 06:15:55
130,Laiyang,36.98,120.71,86.45,77,77,14.56,CN,light rain,2020-08-24 06:20:00
131,Nunoa,-14.48,-70.64,39.65,68,0,4.5,PE,clear sky,2020-08-24 06:20:00
132,Mayumba,-3.43,10.66,73.76,84,100,5.17,GA,overcast clouds,2020-08-24 06:20:00
133,Biltine,14.53,20.92,75.07,72,98,16.24,TD,moderate rain,2020-08-24 06:20:01
134,Pedernales,18.04,-71.74,81.19,71,98,6.22,DO,overcast clouds,2020-08-24 06:20:01
135,Codrington,-38.27,141.97,50.22,64,23,10.94,AU,few clouds,2020-08-24 06:20:01
136,Mount Gambier,-37.83,140.77,51.8,62,75,12.75,AU,broken clouds,2020-08-24 06:17:44
137,Katangli,51.71,143.23,57.85,84,92,16.02,RU,overcast clouds,2020-08-24 06:20:02
138,Tornio,65.85,24.15,57.2,76,94,9.17,FI,overcast clouds,2020-08-24 06:20:02
139,Sardulgarh,29.7,75.25,93.81,51,7,12.35,IN,clear sky,2020-08-24 06:20:03
140,Olga,43.74,135.29,72.64,74,97,8.88,RU,overcast clouds,2020-08-24 06:17:55
141,Siguiri,11.67,-9.5,69.89,97,43,3.98,GN,scattered clouds,2020-08-24 06:20:03
142,Mopipi,-21.18,24.88,60.89,40,0,9.42,BW,clear sky,2020-08-24 06:20:04
143,Cavalcante,-13.8,-47.46,66.49,69,16,4.97,BR,few clouds,2020-08-24 06:16:24
144,Naryan-Mar,67.67,53.09,56.01,94,100,10.51,RU,light rain,2020-08-24 06:20:04
145,Halifax,44.65,-63.57,64.99,73,75,6.38,CA,broken clouds,2020-08-24 06:16:02
146,Puerto Ayora,-0.74,-90.35,66.0,89,17,4.0,EC,few clouds,2020-08-24 06:20:05
147,Chochola,20.75,-89.83,77.0,95,100,2.3,MX,light rain,2020-08-24 06:20:06
148,Archidona,37.1,-4.39,75.99,89,31,4.85,ES,scattered clouds,2020-08-24 06:20:06
149,Vanavara,60.34,102.28,68.92,36,41,7.45,RU,scattered clouds,2020-08-24 06:20:07
150,Souillac,-20.52,57.52,73.4,69,75,17.22,MU,shower rain,2020-08-24 06:16:45
151,Makokou,0.57,12.86,69.71,96,100,2.42,GA,overcast clouds,2020-08-24 06:20:08
152,Ko Samui,9.54,99.94,89.6,70,20,8.05,TH,few clouds,2020-08-24 06:20:08
153,Batagay-Alyta,67.8,130.41,40.77,69,98,11.48,RU,overcast clouds,2020-08-24 06:20:22
154,Norman Wells,65.28,-126.83,62.6,55,20,8.05,CA,few clouds,2020-08-24 06:20:23
155,Manjacaze,-24.71,33.88,66.52,66,0,10.65,MZ,clear sky,2020-08-24 06:20:23
156,Floresti,47.89,28.3,71.78,61,14,8.34,MD,light rain,2020-08-24 06:20:23
157,Okha,53.57,142.95,61.18,73,69,12.24,RU,broken clouds,2020-08-24 06:20:24
158,Vredendal,-31.67,18.5,51.42,92,37,1.03,ZA,scattered clouds,2020-08-24 06:20:24
159,Lorengau,-2.02,147.27,76.55,90,100,12.03,PG,light rain,2020-08-24 06:16:12
160,Kloulklubed,7.04,134.26,87.8,66,75,9.17,PW,broken clouds,2020-08-24 06:20:25
161,Olds,51.78,-114.1,55.99,77,99,1.01,CA,overcast clouds,2020-08-24 06:15:55
162,Kiama,-34.68,150.87,62.01,42,0,1.01,AU,clear sky,2020-08-24 06:20:26
163,Lazaro Cardenas,17.96,-102.2,78.69,88,70,3.58,MX,light rain,2020-08-24 06:20:26
164,Dublin,37.7,-121.94,75.2,57,75,6.93,US,haze,2020-08-24 06:17:12
165,Leningradskiy,69.38,178.42,43.84,89,100,9.51,RU,overcast clouds,2020-08-24 06:20:27
166,Gravenhurst,44.92,-79.37,68.0,88,90,2.24,CA,overcast clouds,2020-08-24 06:20:28
167,Talara,-4.58,-81.27,61.68,82,0,15.19,PE,clear sky,2020-08-24 06:20:28
168,Hauge,58.34,6.28,54.0,72,82,14.63,NO,broken clouds,2020-08-24 06:20:29
169,Sitka,57.05,-135.33,57.2,87,75,5.82,US,broken clouds,2020-08-24 06:20:30
170,Nikolskoye,59.7,30.79,62.6,82,75,6.71,RU,broken clouds,2020-08-24 06:16:17
171,Tasiilaq,65.61,-37.64,33.8,86,3,6.93,GL,clear sky,2020-08-24 06:20:30
172,Shelburne,44.08,-80.2,68.0,88,1,7.2,CA,clear sky,2020-08-24 06:20:30
173,Jos,9.92,8.9,62.85,96,95,7.9,NG,overcast clouds,2020-08-24 06:20:31
174,Tuktoyaktuk,69.45,-133.04,60.8,82,75,4.7,CA,broken clouds,2020-08-24 06:20:31
175,Milledgeville,33.08,-83.23,75.2,94,40,3.36,US,scattered clouds,2020-08-24 06:20:31
176,Ribeira Grande,38.52,-28.7,73.4,88,75,10.29,PT,broken clouds,2020-08-24 06:20:32
177,Nata,8.33,-80.52,72.0,88,99,3.53,PA,overcast clouds,2020-08-24 06:20:33
178,Ulaangom,49.98,92.07,69.91,36,100,8.93,MN,overcast clouds,2020-08-24 06:20:33
179,Cassilandia,-19.11,-51.73,62.87,56,0,4.54,BR,clear sky,2020-08-24 06:20:33
180,Nara,34.69,135.8,100.99,47,20,9.17,JP,few clouds,2020-08-24 06:20:34
181,Zaysan,47.47,84.87,81.19,21,87,9.01,KZ,overcast clouds,2020-08-24 06:20:35
182,Tuatapere,-46.13,167.68,52.0,90,13,5.99,NZ,few clouds,2020-08-24 06:20:35
183,Lasa,46.62,10.7,55.99,100,75,4.7,IT,broken clouds,2020-08-24 06:20:35
184,Egvekinot,66.32,-179.17,50.34,80,63,4.65,RU,broken clouds,2020-08-24 06:20:36
185,Dunedin,-45.87,170.5,50.0,90,93,1.01,NZ,overcast clouds,2020-08-24 06:18:16
186,Hauterive,46.09,3.45,57.2,82,78,2.24,FR,broken clouds,2020-08-24 06:20:38
187,Saint-Joseph,-21.37,55.62,77.0,57,23,6.93,RE,few clouds,2020-08-24 06:20:46
188,Yumen,40.28,97.2,89.91,11,41,18.86,CN,scattered clouds,2020-08-24 06:20:47
189,Chumikan,54.72,135.31,59.32,61,98,16.78,RU,overcast clouds,2020-08-24 06:20:47
190,Talnakh,69.49,88.4,59.0,82,75,20.13,RU,light rain,2020-08-24 06:20:47
191,Ranot,7.78,100.32,87.46,60,15,8.7,TH,few clouds,2020-08-24 06:20:47
192,Faanui,-16.48,-151.75,77.22,81,10,22.26,PF,light rain,2020-08-24 06:20:48
193,Dikson,73.51,80.55,46.36,81,0,14.14,RU,clear sky,2020-08-24 06:16:08
194,Saint Anthony,45.02,-93.22,75.2,94,1,5.82,US,clear sky,2020-08-24 06:20:49
195,Guerrero Negro,27.98,-114.06,74.23,75,0,17.25,MX,clear sky,2020-08-24 06:20:49
196,Srandakan,-7.94,110.25,83.17,64,73,14.83,ID,broken clouds,2020-08-24 06:20:53
197,Vangaindrano,-23.35,47.6,70.18,73,12,7.09,MG,few clouds,2020-08-24 06:20:53
198,Huarmey,-10.07,-78.15,59.59,85,21,8.1,PE,few clouds,2020-08-24 06:20:53
199,Severo-Yeniseyskiy,60.37,93.04,65.77,49,63,4.0,RU,broken clouds,2020-08-24 06:16:40
200,Deputatskiy,69.3,139.9,36.28,82,98,6.89,RU,overcast clouds,2020-08-24 06:17:29
201,Chabahar,25.29,60.64,87.8,70,40,9.17,IR,scattered clouds,2020-08-24 06:20:55
202,Valkeala,60.94,26.8,62.01,87,40,6.93,FI,scattered clouds,2020-08-24 06:20:55
203,Callaguip,18.07,120.49,89.6,70,40,13.87,PH,scattered clouds,2020-08-24 06:20:55
204,Ponta Do Sol,32.67,-17.1,73.4,73,20,20.8,PT,few clouds,2020-08-24 06:20:56
205,Narsaq,60.92,-46.05,44.6,75,4,3.36,GL,clear sky,2020-08-24 06:20:56
206,Bonavista,48.65,-53.11,59.0,84,74,5.01,CA,broken clouds,2020-08-24 06:20:56
207,Zhigansk,66.77,123.37,53.42,47,0,7.29,RU,clear sky,2020-08-24 06:21:21
208,Hirara,24.8,125.28,84.2,89,75,19.46,JP,broken clouds,2020-08-24 06:21:22
209,Prestea,5.43,-2.14,71.42,92,84,1.66,GH,broken clouds,2020-08-24 06:21:22
210,Mount Isa,-20.73,139.5,80.6,13,0,12.75,AU,clear sky,2020-08-24 06:21:23
211,Rio Gallegos,-51.62,-69.22,30.2,80,5,12.75,AR,clear sky,2020-08-24 06:21:24
212,Shimoda,34.67,138.95,86.0,66,20,12.75,JP,few clouds,2020-08-24 06:21:24
213,Ambilobe,-13.2,49.05,84.31,37,47,5.53,MG,scattered clouds,2020-08-24 06:21:24
214,Cabra,37.47,-4.44,70.0,68,0,3.18,ES,clear sky,2020-08-24 06:21:25
215,Kodiak,57.79,-152.41,56.66,88,63,4.45,US,broken clouds,2020-08-24 06:21:25
216,Tazovskiy,67.47,78.7,51.03,96,100,8.99,RU,light rain,2020-08-24 06:21:25
217,Evensk,61.95,159.23,52.3,53,100,2.24,RU,overcast clouds,2020-08-24 06:21:26
218,Petropavlovsk-Kamchatskiy,53.05,158.65,69.8,43,2,4.47,RU,clear sky,2020-08-24 06:21:26
219,Champerico,14.3,-91.92,77.9,88,100,4.81,GT,heavy intensity rain,2020-08-24 06:21:26
220,Verkhniy Avzyan,53.53,57.54,62.87,60,1,5.59,RU,clear sky,2020-08-24 06:21:27
221,Dondo,-19.61,34.74,60.8,93,9,6.93,MZ,clear sky,2020-08-24 06:21:27
222,Phalodi,27.13,72.37,96.1,42,32,12.26,IN,scattered clouds,2020-08-24 06:21:27
